test_row_index,label,prediction,probability
1,0,1,0.8463307023048401
2,0,1,0.8730114102363586
3,1,1,0.9326383471488953
4,0,1,0.8387695550918579
5,0,1,0.7259502410888672
6,1,1,0.750238299369812
7,1,1,0.9545229077339172
8,0,1,0.8490504026412964
9,1,1,0.9219300150871277
10,1,1,0.8635334968566895
11,1,1,0.8350641131401062
12,1,1,0.9618189930915833
13,1,1,0.9528692364692688
14,0,1,0.8417413830757141
15,0,1,0.799485445022583
16,0,1,0.6865220665931702
17,1,1,0.9616807103157043
18,0,1,0.9157829880714417
19,1,1,0.9657822847366333
20,0,1,0.7246626615524292
21,1,1,0.8871456384658813
22,1,1,0.7839158773422241
23,1,1,0.9419296383857727
24,0,1,0.8048135042190552
25,0,1,0.7613943815231323
26,1,1,0.9149428009986877
27,0,1,0.6955012083053589
28,0,1,0.7826557755470276
29,0,1,0.7715244889259338
30,0,1,0.8786830902099609
31,0,1,0.6966944932937622
32,1,1,0.9582274556159973
33,1,1,0.9571114182472229
34,1,1,0.8977603316307068
35,0,1,0.7489863634109497
36,0,1,0.8309469223022461
37,1,1,0.8262383341789246
38,1,1,0.9258312582969666
39,1,1,0.9537141919136047
40,1,1,0.8973063826560974
41,0,1,0.6749173998832703
42,1,1,0.8676024675369263
43,0,1,0.8709946870803833
44,1,1,0.9528578519821167
45,1,1,0.9648724794387817
46,0,1,0.7414978742599487
47,0,1,0.7592220306396484
48,0,1,0.8384568095207214
49,0,1,0.808546245098114
50,1,1,0.9157618284225464
51,1,1,0.9214765429496765
52,0,1,0.7238866090774536
53,0,1,0.8221350312232971
54,0,1,0.8221856951713562
55,1,1,0.9227204918861389
56,0,1,0.77934330701828
57,0,1,0.8341599702835083
58,1,1,0.9592711925506592
59,1,1,0.9575408101081848
60,0,1,0.7464225888252258
61,1,1,0.9146164655685425
62,0,1,0.9377647042274475
63,0,1,0.6997982263565063
64,1,1,0.9417582750320435
65,0,1,0.8920606970787048
66,1,1,0.9658259749412537
67,1,1,0.9506633877754211
68,0,1,0.7547000050544739
69,1,1,0.9390184879302979
70,0,1,0.8353510499000549
71,0,1,0.825559139251709
72,1,1,0.8945065140724182
